id_avis;nb_etoile;nb_pouce_haut;nb_pouce_bas;contenu_commentaire;id_produit;id_compte
1;2;;;Le produit ne correspond pas totalement à la description.;1;21
2;4;;;Ce produit devrait avoir son fan-club.;1;22
3;2;;;Pas terrible… Je ne pense pas le racheter.;1;23
4;5;;;Un incontournable, je suis ravi de mon achat.;2;24
5;3;;;Je suis un peu déçu, je m'attendais à mieux.;2;25
6;4;;;J'adore ce produit ! Il dépasse mes attentes.;2;26
7;1;;;Le produit ne correspond pas totalement à la description.;3;27
8;5;;;Excellent rapport qualité-prix, vraiment satisfait.;3;28
9;2;;;Qualité moyenne, pourrait être amélioré.;3;29
10;1;;;Pas terrible… Je ne pense pas le racheter.;4;30
11;4;;;Un incontournable, je suis ravi de mon achat.;4;31
12;2;;;Le produit ne correspond pas totalement à la description.;4;32
13;1;;;Le produit ne correspond pas totalement à la description.;5;33
14;4;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;5;34
15;1;;;Je suis un peu déçu, je m'attendais à mieux.;5;35
16;4;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;6;36
17;2;;;Pas terrible… Je ne pense pas le racheter.;6;37
18;4;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;6;38
19;2;;;Je suis un peu déçu, je m'attendais à mieux.;7;39
20;2;;;Je suis un peu déçu, je m'attendais à mieux.;7;40
21;5;;;Très bonne qualité, je recommanderai sans hésiter.;7;21
22;2;;;Je suis un peu déçu, je m'attendais à mieux.;8;22
23;4;;;J'ai failli en racheter dix juste pour le fun.;8;23
24;2;;;Qualité moyenne, pourrait être amélioré.;8;24
25;2;;;Pas terrible… Je ne pense pas le racheter.;9;25
26;3;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;9;26
27;3;;;Le produit ne correspond pas totalement à la description.;9;27
28;3;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;10;28
29;2;;;Qualité moyenne, pourrait être amélioré.;10;29
30;5;;;Un incontournable, je suis ravi de mon achat.;10;30
31;3;;;Ce produit devrait avoir son fan-club.;11;31
32;4;;;Très bonne qualité, je recommanderai sans hésiter.;11;32
33;4;;;Très bonne qualité, je recommanderai sans hésiter.;11;33
34;4;;;Ce produit devrait avoir son fan-club.;12;34
35;3;;;Je suis un peu déçu, je m'attendais à mieux.;12;35
36;5;;;J'adore ce produit ! Il dépasse mes attentes.;12;36
37;5;;;J'adore ce produit ! Il dépasse mes attentes.;13;37
38;5;;;J'ai failli en racheter dix juste pour le fun.;13;38
39;4;;;J'ai failli en racheter dix juste pour le fun.;13;39
40;2;;;Le produit ne correspond pas totalement à la description.;14;40
41;5;;;Très bonne qualité, je recommanderai sans hésiter.;14;21
42;5;;;Excellent rapport qualité-prix, vraiment satisfait.;14;22
43;5;;;Excellent rapport qualité-prix, vraiment satisfait.;15;23
44;1;;;Qualité moyenne, pourrait être amélioré.;15;24
45;4;;;Très bonne qualité, je recommanderai sans hésiter.;15;25
46;3;;;Qualité moyenne, pourrait être amélioré.;16;26
47;5;;;Ce produit est tellement bon que mon chat veut aussi en acheter.;16;27
48;2;;;Je suis un peu déçu, je m'attendais à mieux.;16;28
49;4;;;J'adore ce produit ! Il dépasse mes attentes.;17;29
50;4;;;Excellent rapport qualité-prix, vraiment satisfait.;17;30
51;3;;;Pas terrible… Je ne pense pas le racheter.;17;31
52;1;;;Pas terrible… Je ne pense pas le racheter.;18;32
53;4;;;J'adore ce produit ! Il dépasse mes attentes.;18;33
54;2;;;Le produit ne correspond pas totalement à la description.;18;34
55;4;;;Un incontournable, je suis ravi de mon achat.;19;35
56;1;;;Le produit ne correspond pas totalement à la description.;19;36
57;2;;;Pas terrible… Je ne pense pas le racheter.;19;37
58;1;;;Le produit ne correspond pas totalement à la description.;20;38
59;4;;;J'adore ce produit ! Il dépasse mes attentes.;20;39
60;1;;;Qualité moyenne, pourrait être amélioré.;20;40
61;3;;;Ce produit devrait avoir son fan-club.;21;21
62;3;;;Le produit ne correspond pas totalement à la description.;21;22
63;5;;;J'ai failli en racheter dix juste pour le fun.;21;23
64;4;;;J'ai failli en racheter dix juste pour le fun.;22;24
65;3;;;Qualité moyenne, pourrait être amélioré.;22;25
66;4;;;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;22;26
67;2;;;Le produit ne correspond pas totalement à la description.;23;27
68;3;;;Le produit ne correspond pas totalement à la description.;23;28
69;4;;;Un incontournable, je suis ravi de mon achat.;23;29
70;3;;;J'ai failli en racheter dix juste pour le fun.;24;30
71;4;;;Très bonne qualité, je recommanderai sans hésiter.;24;31
72;3;;;Je suis un peu déçu, je m'attendais à mieux.;24;32
