id_avis;nb_etoile;nb_pouce_haut;nb_pouce_bas;contenu_commentaire;id_produit;id_compte
1;2;7;44;Le produit ne correspond pas totalement à la description.;1;21
2;4;84;60;Ce produit devrait avoir son fan-club.;1;22
3;2;16;12;Pas terrible… Je ne pense pas le racheter.;1;23
4;5;12;84;Un incontournable, je suis ravi de mon achat.;2;24
5;3;36;86;Je suis un peu déçu, je m'attendais à mieux.;2;25
6;4;94;25;J'adore ce produit ! Il dépasse mes attentes.;2;26
7;1;4;79;Le produit ne correspond pas totalement à la description.;3;27
8;5;23;79;Excellent rapport qualité-prix, vraiment satisfait.;3;28
9;2;60;32;Qualité moyenne, pourrait être amélioré.;3;29
10;1;13;35;Pas terrible… Je ne pense pas le racheter.;4;30
11;4;5;37;Un incontournable, je suis ravi de mon achat.;4;31
12;2;26;98;Le produit ne correspond pas totalement à la description.;4;32
13;1;48;68;Le produit ne correspond pas totalement à la description.;5;33
14;4;65;7;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;5;34
15;1;18;23;Je suis un peu déçu, je m'attendais à mieux.;5;35
16;4;47;55;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;6;36
17;2;75;84;Pas terrible… Je ne pense pas le racheter.;6;37
18;4;92;11;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;6;38
19;2;95;34;Je suis un peu déçu, je m'attendais à mieux.;7;39
20;2;49;56;Je suis un peu déçu, je m'attendais à mieux.;7;40
21;5;82;25;Très bonne qualité, je recommanderai sans hésiter.;7;21
22;2;19;8;Je suis un peu déçu, je m'attendais à mieux.;8;22
23;4;17;80;J'ai failli en racheter dix juste pour le fun.;8;23
24;2;5;19;Qualité moyenne, pourrait être amélioré.;8;24
25;2;26;58;Pas terrible… Je ne pense pas le racheter.;9;25
26;3;90;6;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;9;26
27;3;46;97;Le produit ne correspond pas totalement à la description.;9;27
28;3;28;91;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;10;28
29;2;82;92;Qualité moyenne, pourrait être amélioré.;10;29
30;5;39;28;Un incontournable, je suis ravi de mon achat.;10;30
31;3;93;97;Ce produit devrait avoir son fan-club.;11;31
32;4;61;82;Très bonne qualité, je recommanderai sans hésiter.;11;32
33;4;59;88;Très bonne qualité, je recommanderai sans hésiter.;11;33
34;4;15;4;Ce produit devrait avoir son fan-club.;12;34
35;3;24;0;Je suis un peu déçu, je m'attendais à mieux.;12;35
36;5;92;80;J'adore ce produit ! Il dépasse mes attentes.;12;36
37;5;68;46;J'adore ce produit ! Il dépasse mes attentes.;13;37
38;5;17;35;J'ai failli en racheter dix juste pour le fun.;13;38
39;4;23;27;J'ai failli en racheter dix juste pour le fun.;13;39
40;2;79;3;Le produit ne correspond pas totalement à la description.;14;40
41;5;62;65;Très bonne qualité, je recommanderai sans hésiter.;14;21
42;5;29;49;Excellent rapport qualité-prix, vraiment satisfait.;14;22
43;5;71;70;Excellent rapport qualité-prix, vraiment satisfait.;15;23
44;1;59;65;Qualité moyenne, pourrait être amélioré.;15;24
45;4;57;73;Très bonne qualité, je recommanderai sans hésiter.;15;25
46;3;57;43;Qualité moyenne, pourrait être amélioré.;16;26
47;5;56;56;Ce produit est tellement bon que mon chat veut aussi en acheter.;16;27
48;2;21;38;Je suis un peu déçu, je m'attendais à mieux.;16;28
49;4;75;80;J'adore ce produit ! Il dépasse mes attentes.;17;29
50;4;99;81;Excellent rapport qualité-prix, vraiment satisfait.;17;30
51;3;21;39;Pas terrible… Je ne pense pas le racheter.;17;31
52;1;68;72;Pas terrible… Je ne pense pas le racheter.;18;32
53;4;73;98;J'adore ce produit ! Il dépasse mes attentes.;18;33
54;2;99;65;Le produit ne correspond pas totalement à la description.;18;34
55;4;56;77;Un incontournable, je suis ravi de mon achat.;19;35
56;1;73;18;Le produit ne correspond pas totalement à la description.;19;36
57;2;56;48;Pas terrible… Je ne pense pas le racheter.;19;37
58;1;84;18;Le produit ne correspond pas totalement à la description.;20;38
59;4;40;28;J'adore ce produit ! Il dépasse mes attentes.;20;39
60;1;73;25;Qualité moyenne, pourrait être amélioré.;20;40
61;3;59;36;Ce produit devrait avoir son fan-club.;21;21
62;3;33;16;Le produit ne correspond pas totalement à la description.;21;22
63;5;99;39;J'ai failli en racheter dix juste pour le fun.;21;23
64;4;70;43;J'ai failli en racheter dix juste pour le fun.;22;24
65;3;51;21;Qualité moyenne, pourrait être amélioré.;22;25
66;4;4;11;Je ne sais pas ce que j'ai acheté, mais j'aime ça.;22;26
67;2;84;21;Le produit ne correspond pas totalement à la description.;23;27
68;3;63;25;Le produit ne correspond pas totalement à la description.;23;28
69;4;42;25;Un incontournable, je suis ravi de mon achat.;23;29
70;3;15;26;J'ai failli en racheter dix juste pour le fun.;24;30
71;4;6;42;Très bonne qualité, je recommanderai sans hésiter.;24;31
72;3;11;13;Je suis un peu déçu, je m'attendais à mieux.;24;32
73;1;89;46;Je suis un peu déçu, je m'attendais à mieux.;25;33
74;2;8;86;Qualité moyenne, pourrait être amélioré.;25;34
75;3;31;69;Ce produit est tellement bon que mon chat veut aussi en acheter.;25;35
76;1;13;58;Pas terrible… Je ne pense pas le racheter.;26;36
77;5;20;3;Ce produit est tellement bon que mon chat veut aussi en acheter.;26;37
78;1;92;95;Le produit ne correspond pas totalement à la description.;26;38
79;2;52;62;Le produit ne correspond pas totalement à la description.;27;39
